"";"sp";"sn";"wp";"wn"
"1";1,57759577421571;1,30901906816378;1,9699168962146;1,40071164581883
"2";0,9938378585162;1,43493135453667;1,5524291555925;1,35170025255647
"3";1,14707895114787;1,0426873675917;1,35031894640367;1,31187481479463
"4";0,8808932411265;0,9729402156394;0,821838046449615;0,781270234274833
"5";1,49791396462889;1,6822572366866;1,6612589488584;1,62153099274056
"6";1,3232164000458;1,04814348219994;1,6854280461195;1,19707254787975
"7";1,5367499657377;1,63595323965405;1,44664548446411;1,6383267709245
"8";1,05454025560478;2,02560187297227;1,54282146740971;1,885315223516
"9";0,790905553109143;1,28636211157805;1,11765997427218;1,23225722913994
"10";0,82290281898075;0,972951226506083;1,01491472898611;0,9319888040836
"11";1,450606888504;1,4883843948861;1,54130229734494;1,30556237526939
"12";0,9557648142684;1,009139745272;1,05992546371687;0,9227089237494
"13";1,69812194688625;1,40312448777771;2,012827853948;1,79094125070988
"14";1,031378918028;1,18653464445415;1,18425709918933;1,33068410711369
"15";1,4364370372923;1,50478197672411;1,54586112504711;1,19471387281568
"16";1,0249379195227;1,2499784902392;0,995190969165667;1,309047843443
"17";1,60029569220875;1,42892444827953;2,23239533580656;1,70095624311962
"18";NA;0,971174940693;0,788277565445;0,908335054868727
"19";0,852290491627429;1,61542073051941;1,5127922624874;1,49636625207929
"20";1,66853984964375;1,3456384493924;1,67610435363286;1,85482621658107
"21";0,949577709313857;0,94854055895425;1,03353321841929;1,08655621963431
"22";1,7890874037524;1,851910945475;1,97291134778706;1,88873725620684
"23";0,808904076301571;1,27444841883929;0,82464176321775;1,00855984450171
"24";1,2639475241269;1,72237508859428;1,36914397215789;1,83608773794732
"25";1,25803598252867;1,15512045472124;0,964979336303105;1,13999518102753
"26";1,00132301132978;1,27919366035247;0,908474975271538;1,41116194794812
"27";0,9363352544175;1,42681078717071;1,13932215949884;1,18316268778793
"28";1,6752694171266;1,47880665054661;1,16241375993583;1,32976015115844
"29";1,2517201589311;1,19022234695512;0,866565516206692;1,25278938462779
"30";2,01590398825;2,14632262235009;2,01111545086929;2,24427321996578
"31";1,500356757978;1,5771869383547;1,374518589368;1,1967240142296
"32";1,1471210734902;1,21838121715524;1,41490723235768;1,48937250799217
"33";1,27411778010637;1,6987793913354;1,3103278730155;1,56639474742917
"34";1,1588508300644;1,02739835836017;0,951738078104;0,967350810506611
"35";0,999732003457857;1,06656202662633;1,1470633566235;1,0420772094156
"36";1,10914409601644;1,07642787520006;1,19967633076471;1,01607170866969
"37";1,51891698782333;1,48770901032069;1,64697124082235;1,46096974043828
"38";1,3757222788086;1,25970333419116;1,2106538482159;1,35968803183137
"39";1,57323380808511;1,69092322218779;1,80500068495971;1,61548874206865
"40";1,4001356764999;1,23799046043506;1,18315877025817;1,2624247574542
